iops,flops,bytes_read,bytes_write,step,function,cycles,DIRECTION_SIZE,NX,NY,NZ,TIMESTEPS,bytes
24832,7104,15980,2048,Momentum,Momentum Baseline,32736.9,27,4,4,4,10,
7123,7168,15980,2048,Momentum,Momentum 1,30705,27,4,4,4,10,
6941,7168,15980,2048,Momentum,Momentum 2,1.966e+06,27,4,4,4,10,
6941,7168,15980,2048,Momentum,Momentum 3,14775,27,4,4,4,10,
6941,7168,15980,2048,Momentum,Momentum 4,14545.7,27,4,4,4,10,
55296,0,27972,13824,Stream Periodic,Stream Periodic Baseline,182960,27,4,4,4,10,
32980,0,27972,13824,Stream Periodic,Periodic 1,180489,27,4,4,4,10,
12638,0,27972,13824,Stream Periodic,Periodic 2,82727,27,4,4,4,10,
4447,0,1809,1728,Stream Periodic,Periodic 3,27530.4,27,4,4,4,10,
72000,720,28296,13824,Stream Couette,Stream Couette Baseline,107562,27,4,4,4,10,
22176,148,28212,13824,Stream Couette,Couette 1,104417,27,4,4,4,10,
8433,202,28296,13824,Stream Couette,Couette 2,57839.1,27,4,4,4,10,
3547,198,28728,13824,Stream Couette,Couette 3,26946.5,27,4,4,4,10,
3547,198,28728,13824,Stream Couette,Couette 4,25473.4,27,4,4,4,10,
70417,33556,30236,13824,Stream Less Edwards,Stream Lees Edwards Baseline,279587,27,4,4,4,10,
31780,20457,28736,13824,Stream Less Edwards,Lees Edwards 1,159831,27,4,4,4,10,
31780,11241,28736,13824,Stream Less Edwards,Lees Edwards 2,96444.9,27,4,4,4,10,
9540,11241,28736,13824,Stream Less Edwards,Lees Edwards 3,51582.6,27,4,4,4,10,
9540,11241,28736,13824,Stream Less Edwards,Lees Edwards 4,41972.7,27,4,4,4,10,
198656,56832,127084,16384,Momentum,Momentum Baseline,727174,27,8,8,8,10,
56899,57344,127084,16384,Momentum,Momentum 1,724848,27,8,8,8,10,
55325,57344,127084,16384,Momentum,Momentum 2,338239,27,8,8,8,10,
55325,57344,127084,16384,Momentum,Momentum 3,131197,27,8,8,8,10,
55325,57344,127084,16384,Momentum,Momentum 4,129505,27,8,8,8,10,
442368,0,221508,110592,Stream Periodic,Stream Periodic Baseline,1.47753e+06,27,8,8,8,10,
263752,0,221508,110592,Stream Periodic,Periodic 1,1.48223e+06,27,8,8,8,10,
90830,0,221508,110592,Stream Periodic,Periodic 2,581860,27,8,8,8,10,
15631,0,13905,13824,Stream Periodic,Periodic 3,101174,27,8,8,8,10,
557568,2880,221832,110592,Stream Couette,Stream Couette Baseline,1.04318e+06,27,8,8,8,10,
178560,580,221748,110592,Stream Couette,Couette 1,1.02595e+06,27,8,8,8,10,
62361,634,221832,110592,Stream Couette,Couette 2,478412,27,8,8,8,10,
14407,630,222264,110592,Stream Couette,Couette 3,88408.6,27,8,8,8,10,
14407,630,222264,110592,Stream Couette,Couette 4,85842.4,27,8,8,8,10,
502849,134212,238108,110592,Stream Less Edwards,Stream Lees Edwards Baseline,1.87089e+06,27,8,8,8,10,
214408,81801,225856,110592,Stream Less Edwards,Lees Edwards 1,886173,27,8,8,8,10,
214408,44937,225856,110592,Stream Less Edwards,Lees Edwards 2,626535,27,8,8,8,10,
38436,44937,225856,110592,Stream Less Edwards,Lees Edwards 3,197717,27,8,8,8,10,
38436,44937,225856,110592,Stream Less Edwards,Lees Edwards 4,141994,27,8,8,8,10,
1589248,454656,1015916,131072,Momentum,Momentum Baseline,5.85284e+06,27,16,16,16,10,
454915,458752,1015916,131072,Momentum,Momentum 1,6.03326e+06,27,16,16,16,10,
442397,458752,1015916,131072,Momentum,Momentum 2,2.82085e+06,27,16,16,16,10,
442397,458752,1015916,131072,Momentum,Momentum 3,1.42929e+06,27,16,16,16,10,
442397,458752,1015916,131072,Momentum,Momentum 4,1.43987e+06,27,16,16,16,10,
3538944,0,1769796,884736,Stream Periodic,Stream Periodic Baseline,1.20906e+07,27,16,16,16,10,
2109712,0,1769796,884736,Stream Periodic,Periodic 1,1.17963e+07,27,16,16,16,10,
693038,0,1769796,884736,Stream Periodic,Periodic 2,4.36313e+06,27,16,16,16,10,
58735,0,110673,110592,Stream Periodic,Periodic 3,592222,27,16,16,16,10,
4386816,11520,1770120,884736,Stream Couette,Stream Couette Baseline,1.21215e+07,27,16,16,16,10,
1433088,2308,1770036,884736,Stream Couette,Couette 1,1.16022e+07,27,16,16,16,10,
487305,2362,1770120,884736,Stream Couette,Couette 2,3.97297e+06,27,16,16,16,10,
58591,2358,1770552,884736,Stream Couette,Couette 3,555327,27,16,16,16,10,
58591,2358,1770552,884736,Stream Couette,Couette 4,555097,27,16,16,16,10,
3780865,536836,1901084,884736,Stream Less Edwards,Stream Lees Edwards Baseline,1.52177e+07,27,16,16,16,10,
1572400,327177,1802816,884736,Stream Less Edwards,Lees Edwards 1,5.96019e+06,27,16,16,16,10,
1572400,179721,1802816,884736,Stream Less Edwards,Lees Edwards 2,4.56071e+06,27,16,16,16,10,
154980,179721,1802816,884736,Stream Less Edwards,Lees Edwards 3,1.0003e+06,27,16,16,16,10,
154980,179721,1802816,884736,Stream Less Edwards,Lees Edwards 4,768186,27,16,16,16,10,
12713984,3637248,8126572,1048576,Momentum,Momentum Baseline,5.73175e+08,27,32,32,32,10,
3638275,3670016,8126572,1048576,Momentum,Momentum 1,5.79446e+08,27,32,32,32,10,
3538973,3670016,8126572,1048576,Momentum,Momentum 2,2.2552e+07,27,32,32,32,10,
3538973,3670016,8126572,1048576,Momentum,Momentum 3,1.17415e+07,27,32,32,32,10,
3538973,3670016,8126572,1048576,Momentum,Momentum 4,1.17931e+07,27,32,32,32,10,
28311552,0,14156100,7077888,Stream Periodic,Stream Periodic Baseline,3.10266e+08,27,32,32,32,10,
16876576,0,14156100,7077888,Stream Periodic,Periodic 1,3.93822e+08,27,32,32,32,10,
5422574,0,14156100,7077888,Stream Periodic,Periodic 2,3.40897e+07,27,32,32,32,10,
227887,0,884817,884736,Stream Periodic,Periodic 3,5.74186e+06,27,32,32,32,10,
34799616,46080,14156424,7077888,Stream Couette,Stream Couette Baseline,3.3102e+08,27,32,32,32,10,
11483136,9220,14156340,7077888,Stream Couette,Couette 1,3.24206e+08,27,32,32,32,10,
3863529,9274,14156424,7077888,Stream Couette,Couette 2,3.22731e+07,27,32,32,32,10,
236815,9270,14156856,7077888,Stream Couette,Couette 3,5.69417e+06,27,32,32,32,10,
236815,9270,14156856,7077888,Stream Couette,Couette 4,5.67288e+06,27,32,32,32,10,
29279233,2147332,15204892,7077888,Stream Less Edwards,Stream Lees Edwards Baseline,5.35772e+08,27,32,32,32,10,
12033280,1308681,14418496,7077888,Stream Less Edwards,Lees Edwards 1,1.06467e+08,27,32,32,32,10,
12033280,718857,14418496,7077888,Stream Less Edwards,Lees Edwards 2,3.42758e+07,27,32,32,32,10,
623076,718857,14418496,7077888,Stream Less Edwards,Lees Edwards 3,8.79313e+06,27,32,32,32,10,
623076,718857,14418496,7077888,Stream Less Edwards,Lees Edwards 4,7.6439e+06,27,32,32,32,10,
101711872,29097984,65011820,8388608,Momentum,Momentum Baseline,8.57644e+09,27,64,64,64,10,
29102083,29360128,65011820,8388608,Momentum,Momentum 1,8.52862e+09,27,64,64,64,10,
28311581,29360128,65011820,8388608,Momentum,Momentum 2,1.90564e+08,27,64,64,64,10,
28311581,29360128,65011820,8388608,Momentum,Momentum 3,1.2143e+08,27,64,64,64,10,
28311581,29360128,65011820,8388608,Momentum,Momentum 4,1.20595e+08,27,64,64,64,10,
226492416,0,113246532,56623104,Stream Periodic,Stream Periodic Baseline,8.47478e+09,27,64,64,64,10,
135008320,0,113246532,56623104,Stream Periodic,Periodic 1,1.42049e+10,27,64,64,64,10,
42916718,0,113246532,56623104,Stream Periodic,Periodic 2,2.89723e+08,27,64,64,64,10,
897967,0,7077969,7077888,Stream Periodic,Periodic 3,1.96912e+08,27,64,64,64,10,
277217280,184320,113246856,56623104,Stream Couette,Stream Couette Baseline,1.30449e+10,27,64,64,64,10,
91938816,36868,113246772,56623104,Stream Couette,Couette 1,1.26516e+10,27,64,64,64,10,
30785193,36922,113246856,56623104,Stream Couette,Couette 2,2.91055e+08,27,64,64,64,10,
952687,36918,113247288,56623104,Stream Couette,Couette 3,2.07156e+08,27,64,64,64,10,
952687,36918,113247288,56623104,Stream Couette,Couette 4,2.06508e+08,27,64,64,64,10,
230363137,8589316,121635356,56623104,Stream Less Edwards,Stream Lees Edwards Baseline,9.79165e+09,27,64,64,64,10,
94126240,5234697,115343936,56623104,Stream Less Edwards,Lees Edwards 1,4.86955e+09,27,64,64,64,10,
94126240,2875401,115343936,56623104,Stream Less Edwards,Lees Edwards 2,2.8979e+08,27,64,64,64,10,
2499300,2875401,115343936,56623104,Stream Less Edwards,Lees Edwards 3,2.02603e+08,27,64,64,64,10,
2499300,2875401,115343936,56623104,Stream Less Edwards,Lees Edwards 4,2.27202e+08,27,64,64,64,10,
813694976,232783872,520093804,67108864,Momentum,Momentum Baseline,9.6716e+10,27,128,128,128,10,
232800259,234881024,520093804,67108864,Momentum,Momentum 1,9.61102e+10,27,128,128,128,10,
226492445,234881024,520093804,67108864,Momentum,Momentum 2,3.63431e+09,27,128,128,128,10,
226492445,234881024,520093804,67108864,Momentum,Momentum 3,2.68264e+09,27,128,128,128,10,
226492445,234881024,520093804,67108864,Momentum,Momentum 4,2.70299e+09,27,128,128,128,10,
